Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.459284,9.193686,45.437212,9.179391,2.695626,2020,03,28,23,52,03,29,0,22,53,12,20,22,1567,707
45.451895,9.201226,45.501793,9.208332,5.575731,2020,03,28,23,52,03,39,0,29,87,17,22,23,1568,707
45.469086,9.186941,45.488384,9.176193,2.303550,2020,03,28,23,52,03,25,0,16,36,9,16,15,1567,707
45.479060,9.166838,45.444823,9.187978,4.148458,2020,03,28,23,52,03,50,0,23,64,15,15,24,1567,707
45.464015,9.161802,45.481187,9.185840,2.675546,2020,03,28,23,52,03,32,0,18,46,11,12,14,1566,707
45.476234,9.197872,45.452760,9.171786,3.309178,2020,03,28,23,52,03,24,0,25,51,12,19,20,1567,707
45.468940,9.221349,45.457979,9.181144,3.363903,2020,03,28,23,52,03,26,0,23,53,15,15,20,1567,706
45.499627,9.216071,45.467933,9.176598,4.678443,2020,03,28,23,52,03,28,0,24,69,17,27,25,1567,706
45.492523,9.173234,45.455852,9.188730,4.252675,2020,03,28,23,52,03,44,0,27,66,17,56,20,1568,706
45.494586,9.218482,45.460053,9.183231,4.721949,2020,03,28,23,52,03,26,0,27,70,19,23,24,1569,706
45.440449,9.229299,45.482213,9.152946,7.551224,2020,03,29,00,02,04,52,0,39,114,0,5,6,1568,707
45.469985,9.179803,45.448265,9.171866,2.493106,2020,03,29,00,02,04,25,0,16,41,13,14,24,1568,707
45.439003,9.212201,45.459112,9.226779,2.508466,2020,03,29,00,02,04,45,0,14,45,8,8,13,1567,707
45.486746,9.173586,45.469665,9.153426,2.465255,2020,03,29,00,02,04,38,0,15,40,8,11,16,1566,707
45.499577,9.156465,45.457816,9.160803,4.655688,2020,03,29,00,02,04,50,0,31,96,16,21,39,1567,705
45.480107,9.150821,45.448565,9.209346,5.755850,2020,03,29,00,02,04,37,0,32,87,20,20,29,1569,705
45.455425,9.161415,45.480577,9.200951,4.162418,2020,03,29,00,02,04,36,0,27,65,15,19,19,1567,705
45.448754,9.206179,45.468086,9.165309,3.844557,2020,03,29,00,02,04,27,0,22,59,12,14,14,1565,705
45.446889,9.201524,45.458304,9.169289,2.816505,2020,03,29,00,02,04,23,0,14,43,10,10,11,1569,706
45.505881,9.200703,45.460142,9.164631,5.811378,2020,03,29,00,02,04,47,0,34,91,16,20,27,1570,706
45.475194,9.177348,45.447755,9.156196,3.468329,2020,03,29,00,12,04,36,0,23,59,13,18,21,1570,706
45.478174,9.160695,45.481956,9.214206,4.192933,2020,03,29,00,12,04,41,0,26,69,16,17,25,1568,706
45.478596,9.170307,45.506292,9.185208,3.291249,2020,03,29,00,12,04,41,0,23,56,12,13,17,1569,705
45.480708,9.175960,45.451197,9.185590,3.366150,2020,03,29,00,12,04,35,0,22,55,15,15,18,1568,705
45.480123,9.165720,45.478288,9.227885,4.850837,2020,03,29,00,12,04,31,0,29,80,19,19,24,1568,705
