Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.456874,9.192479,45.466613,9.162302,2.590586,2020,03,01,14,23,11,26,25,17,41,11,18,20,0,0
45.443547,9.221649,45.493858,9.193874,5.998687,2020,03,01,14,23,11,28,28,32,100,18,22,23,0,0
45.438958,9.210132,45.457248,9.145681,5.423275,2020,03,01,14,23,11,46,40,32,92,15,20,21,0,0
45.501460,9.159139,45.483233,9.150038,2.147214,2020,03,01,14,23,11,18,63,17,48,7,11,12,0,0
45.477417,9.207572,45.495283,9.149533,4.941203,2020,03,01,14,23,11,36,49,24,77,13,18,17,0,0
45.444192,9.205922,45.489958,9.155776,6.417612,2020,03,01,14,23,11,44,22,36,100,18,38,27,0,0
45.446792,9.198539,45.505834,9.170849,6.910727,2020,03,01,14,23,11,56,50,40,108,23,31,27,0,0
45.442704,9.230125,45.474089,9.149803,7.170836,2020,03,01,14,23,11,30,28,37,111,22,24,28,0,0
45.501839,9.220018,45.477836,9.166137,4.976161,2020,03,01,14,23,11,32,37,26,77,18,22,23,0,0
45.496299,9.205499,45.440874,9.199818,6.178583,2020,03,01,14,23,11,48,47,32,99,20,23,22,0,0
45.485849,9.216035,45.504387,9.204009,2.264340,2020,03,01,14,23,11,39,28,14,42,6,8,10,0,0
45.469924,9.188228,45.476493,9.230383,3.367039,2020,03,01,14,23,11,31,39,25,54,15,15,20,0,0
45.506246,9.230379,45.458012,9.203898,5.746726,2020,03,01,14,23,11,49,45,31,94,20,26,22,0,0
45.444651,9.188772,45.440819,9.147429,3.253315,2020,03,01,14,23,11,32,29,16,50,10,11,16,0,0
45.501817,9.172463,45.495081,9.215921,3.468764,2020,03,01,14,23,11,57,49,23,59,15,17,16,0,0
45.473717,9.208142,45.468842,9.177033,2.485505,2020,03,01,14,23,11,17,17,16,39,12,13,13,0,0
45.445222,9.179517,45.499521,9.198719,6.220359,2020,03,01,14,23,11,45,40,36,94,20,23,32,0,0
45.440933,9.177441,45.478786,9.161775,4.382607,2020,03,01,14,23,11,52,45,24,71,14,16,20,0,0
45.498151,9.186626,45.445896,9.146070,6.615013,2020,03,01,14,23,11,52,52,35,106,21,20,22,0,0
