Lat,Lon,Elat,Elon,Length,Year,Month,Day,Hour,Minute,Public,Public2,Car,Bike,Foot,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.502865,9.176148,45.451561,9.159576,5.848961,2020,06,30,10,40,17,54,0,34,99,20,32,26,936,791
45.457768,9.227384,45.481564,9.161210,5.798784,2020,06,30,10,40,17,32,0,33,91,23,24,0,936,0
45.482620,9.224249,45.475088,9.183048,3.319536,2020,06,30,10,40,17,22,0,22,55,16,24,30,936,786
45.451468,9.178646,45.476075,9.197891,3.120629,2020,06,30,10,40,17,36,0,22,47,14,21,26,936,787
45.456136,9.162096,45.471132,9.223474,5.068618,2020,06,30,10,40,17,41,0,27,78,23,27,29,936,787
45.471124,9.171986,45.439910,9.169813,3.474807,2020,06,30,10,40,17,31,0,25,59,16,22,19,936,787
45.445029,9.177377,45.442452,9.205931,2.245898,2020,06,30,10,40,17,30,0,13,36,8,13,23,936,787
45.442725,9.183400,45.463100,9.191052,2.342789,2020,06,30,10,40,17,25,0,14,36,11,17,26,936,783
45.491798,9.172261,45.463178,9.207205,4.189163,2020,06,30,10,40,17,46,0,25,70,17,56,23,936,783
45.469187,9.197362,45.465458,9.166821,2.417381,2020,06,30,10,40,17,23,0,17,35,12,13,15,936,783
45.452770,9.206758,45.488677,9.181507,4.451585,2020,06,30,10,50,20,37,0,24,71,18,23,31,936,783
45.461494,9.171183,45.480410,9.203443,3.278896,2020,06,30,10,50,20,24,0,25,56,19,22,29,936,783
45.472615,9.205409,45.479432,9.168850,2.949455,2020,06,30,10,50,20,28,0,16,46,13,18,17,936,783
45.464368,9.162450,45.451755,9.184139,2.197320,2020,06,30,10,50,20,25,0,11,34,9,13,16,936,783
45.462929,9.174868,45.466106,9.224290,3.870226,2020,06,30,10,50,20,34,0,24,58,20,23,25,936,783
45.452813,9.229677,45.470044,9.175675,4.626783,2020,06,30,10,50,20,46,0,25,70,22,24,33,936,783
45.496496,9.152717,45.498556,9.214187,4.796274,2020,06,30,10,50,20,43,0,26,82,17,40,24,936,782
45.472962,9.198215,45.475585,9.162276,2.817279,2020,06,30,10,50,20,31,0,19,47,12,15,23,936,782
45.437358,9.196163,45.479303,9.206638,4.734859,2020,06,30,10,50,20,45,0,26,78,20,21,30,936,782
45.479356,9.180478,45.455427,9.180887,2.660847,2020,06,30,10,50,20,29,0,18,40,16,24,19,936,784
45.463182,9.165142,45.494449,9.204989,4.662343,2020,06,30,11,00,20,37,0,27,73,0,21,6,936,784
45.480357,9.201543,45.504253,9.149933,4.820975,2020,06,30,11,00,20,17,0,25,79,0,0,3,936,784
45.474293,9.205954,45.443947,9.221265,3.579225,2020,06,30,11,00,20,23,0,19,62,13,20,21,936,784
45.458894,9.167826,45.504050,9.150946,5.190466,2020,06,30,11,00,20,30,0,28,84,16,28,22,936,784
45.483560,9.171212,45.452737,9.182522,3.538852,2020,06,30,11,00,20,35,0,22,58,23,20,20,936,784
45.471883,9.227667,45.474825,9.184364,3.392174,2020,06,30,11,00,20,35,0,21,53,16,18,20,936,784
45.498750,9.154505,45.455694,9.181605,5.232893,2020,06,30,11,00,20,55,0,29,84,21,41,42,936,784
45.497750,9.180268,45.474356,9.192703,2.775917,2020,06,30,11,00,20,19,0,17,48,13,15,27,936,784
45.467945,9.181791,45.444651,9.198236,2.890236,2020,06,30,11,00,20,33,0,19,43,15,18,20,936,778
45.471670,9.146458,45.452182,9.204890,5.045858,2020,06,30,11,00,20,31,0,26,75,19,19,33,936,778
45.455315,9.172104,45.473409,9.162470,2.147564,2020,06,30,11,10,19,22,0,14,34,7,12,12,936,778
45.442124,9.157664,45.471251,9.167385,3.326182,2020,06,30,11,10,19,40,0,20,57,11,16,13,936,778
45.442696,9.188566,45.468733,9.175911,3.058676,2020,06,30,11,10,19,28,0,20,48,13,22,34,936,777
45.491071,9.226112,45.460016,9.162916,6.016717,2020,06,30,11,10,19,42,0,34,96,26,30,36,936,777
45.464697,9.166705,45.486216,9.154611,2.571789,2020,06,30,11,10,19,31,0,16,42,10,12,14,936,777
45.452643,9.173296,45.492200,9.183617,4.471341,2020,06,30,11,10,19,35,0,30,70,22,29,25,936,777
45.479721,9.161697,45.453620,9.221364,5.483734,2020,06,30,11,10,19,43,0,30,83,22,27,29,936,778
45.466057,9.183416,45.440779,9.165527,3.137937,2020,06,30,11,10,19,26,0,23,53,16,18,19,936,778
45.459594,9.200429,45.482871,9.197835,2.596051,2020,06,30,11,10,19,26,0,16,43,10,14,13,936,778
